Country,Pct_Renewable,Renewable GWh,Hydro,Wind,Solar,Biofuel,Geoth
Ecuador,81.0,26077.0,79.4,0.2,0.1,1.3,0
Malawi,80.1,1869.0,72.5,0,5.5,2.1,0
Austria,79.9,56542.0,60.1,9.5,3.9,5.8,0
Cameroon,79.3,5110.0,79.0,0,0.3,0,0
Denmark,79.0,26096.0,0.05,48.6,4.0,23.4,0
Afghanistan,78.2,927.0,71.7,0.01,6.6,0,0
Brazil,77.4,507667.0,55.3,11.0,2.6,8.5,0
Greenland,77.0,447.0,74.5,0.01,0.1,0,0
Colombia,75.4,63145.0,72.5,0.1,0.6,2.2,0
Sierra Leone,75.3,244.0,70.5,0,1.9,2.9,0
Angola,73.7,14004.0,72.6,0,0.01,1.1,0
Guatemala,73.3,9393.0,46.5,2.5,1.9,20.3,2.1
Zimbabwe,71.3,6217.0,68.9,0,0.7,1.6,0
Croatia,69.9,10629.0,47.5,13.6,1.0,7.2,0.6
Laos,69.3,28427.0,69.1,0,0.1,0.1,0
Nicaragua,69.3,2928.0,14.2,15.5,0.6,21.6,17.4
French Guiana,69.1,688.0,58.8,0,5.7,4.6,0
Switzerland,68.1,44949.0,60.4,0.2,4.3,1.5,0
Canada,67.5,433791.0,59.5,5.4,0.9,1.5,0
Sweden,67.4,115778.0,43.0,15.9,0.9,6.6,0
Lithuania,65.6,3332.0,21.5,26.8,3.8,10.7,0
Portugal,64.9,33089.0,26.4,25.9,4.4,7.2,0.4
Latvia,63.6,3718.0,46.3,2.4,0.1,14.7,0
North Korea,63.2,16168.0,63.0,0,0.3,0,0
Honduras,62.8,7186.0,33.0,6.8,9.5,10.5,3.0
Mali,62.3,1875.0,56.6,0,3.1,2.6,0
Montenegro,61.8,2333.0,53.2,8.5,0.1,0,0
Peru,61.7,35203.0,55.9,3.2,1.5,1.0,0
Burundi,61.3,278.0,59.6,0,0.5,1.2,0
Sudan,60.8,10195.0,60.0,0,0.2,0.6,0
Fiji,60.1,657.0,50.1,0.03,1.1,8.8,0
Cambodia,58.9,5757.0,51.6,0,6.5,0.8,0
Rwanda,58.2,595.0,54.5,0,3.5,0.2,0
Liberia,57.4,132.0,55.7,0,1.6,0.1,0
Germany[5],56,251800.0,4.1,31,11.9,6.2,0
Gabon,54.0,984.0,53.9,0,0.04,0.1,0
Suriname,53.9,866.0,52.7,0,0.8,0.4,0
Finland,52.9,38174.0,21.9,11.8,0.4,18.0,0
Sri Lanka,51.2,8580.0,43.0,3.8,3.3,1.0,0
Samoa,49.1,80.0,28.8,0.1,14.1,6.1,0
Chile,48.9,42321.0,20.9,8.8,12.3,6.5,0.4
Spain,47.0,128968.0,12.0,22.6,9.9,2.2,0
Myanmar,46.4,12234.0,45.1,0,0.3,1.0,0
Romania,44.9,26677.0,29.8,11.1,2.9,1.1,0
Madagascar,42.8,857.0,40.0,0.02,2.8,0.03,0
Vietnam,42.8,104331.0,31.1,1.0,10.5,0.1,0
Tanzania,42.8,3407.0,40.4,0.1,0.3,2.0,0
Italy,41.0,118442.0,16.4,7.2,8.7,5.8,2.0
Congo,40.7,1078.0,39.5,0,0.03,1.2,0
Greece,40.6,22195.0,10.9,19.2,9.6,0.9,0
United Kingdom,40.4,124072.0,2.4,21.0,3.9,11.5,0
Papua New Guinea,40.0,1145.0,35.3,0,0.2,1.1,3.4
Estonia,40.0,2879.0,0.3,10.2,4.9,23.7,0
Bosnia and Herzegovina,39.3,7292.0,36.7,2.1,0.4,0.2,0
Bolivia,38.3,4162.0,29.8,1.1,3.2,4.2,0
Faroe Islands,38.1,161.0,23.7,12.8,0.04,1.6,0
Ireland,37.3,11900.0,3.2,30.7,0.3,2.0,0
Slovenia,36.1,5733.0,31.5,0.04,2.9,1.7,0
Turkey,35.4,118555.0,16.7,9.4,4.2,1.8,3.2
Djibouti,35.4,70.0,0,35.1,0.3,0,0
Serbia,34.9,13375.0,31.3,2.8,0.2,0.6,0
Ghana,34.8,7690.0,34.0,0,0.7,0.1,0
Guadeloupe,33.8,563.0,0.7,6.4,6.8,14.9,5.0
Netherlands,33.1,40472.0,0.1,14.7,9.4,7.1,0
North Macedonia,30.7,1713.0,26.0,1.9,1.9,1.0,0
Armenia,30.5,2367.0,28.4,0.02,2.1,0,0
Pakistan,29.8,45183.0,24.7,2.3,0.8,2.0,0
China,28.6,2444538.0,15.7,7.7,3.8,0.9,0
Réunion,28.2,872.0,11.6,0.1,8.7,7.8,0
World,28.1,7983492.0,15.5,6.5,3.6,1.9,0.3
Burkina Faso,27.4,234.0,15.8,0,11.4,0.2,0
Argentina,27.2,39116.0,14.0,9.0,1.5,2.7,0
Australia,26.7,70799.0,5.7,9.2,10.4,1.3,0
Martinique,26.0,393.0,0,3.2,6.0,16.4,0
